Company Number,Company Name,Company Status,Officer Name,Officer Role,Occupation,Appointed On,Nationality,Country of Residence
11745374,ADVANCED VIRTUAL LTD,active,"GUERRA GOMEZ, Jacobo",director,Ceo,31/12/2018,Spanish,Slovakia
11055717,ADVANCING CLIENT ENGAGEMENT LTD,active,"ALEXANDER, Carolyn",director,Consultant,09/11/2017,British,England
11055717,ADVANCING CLIENT ENGAGEMENT LTD,active,"ALEXANDER, Gareth Haye",director,Director,07/11/2020,British,England
11055717,ADVANCING CLIENT ENGAGEMENT LTD,active,"TATE, Colin David",director,Consultant,09/11/2017,British,United Kingdom
10679614,AFRIKWA LTD,active,"FRIMPONG-ANSAH, Kwaku, Dr",director,Engineer,20/03/2017,Ghanaian,United Kingdom
9801226,AGK-WORLD LTD,active,"KADER, Ag",director,Business Strategist,30/09/2017,British,United Kingdom
12237594,AGROLABS LIMITED,active,"HORINOV, Maksym",secretary,N/A,08/01/2020,N/A,N/A
12237594,AGROLABS LIMITED,active,"LAZARENKO, Mykhailo",director,Director,01/10/2019,Ukrainian,United Kingdom
8954558,AHM TECHNOLOGIES LIMITED,active,"AL-MAHDAWIE, Ali Husain, Dr",director,Consulting Engineer,24/03/2014,British,England
10258087,AHURA VIRTUAL AUDIO (AVA) LIMITED,active,"MIRNEZAMI, Niloufar, Dr",secretary,N/A,30/06/2016,N/A,N/A
10258087,AHURA VIRTUAL AUDIO (AVA) LIMITED,active,"FAGHIR-MIRNEZAMI, Seyed Maahan",director,Ceo & Founder,30/06/2016,British,England
10258087,AHURA VIRTUAL AUDIO (AVA) LIMITED,active,"MIRNEZAMI, Niloufar, Dr.",director,Director,30/06/2016,British,England
9442529,AIR AUDIO SERVICES LIMITED,active,"OSBORN, Michael Robert",director,Company Director,17/02/2015,British,England
12716372,AIR REVOLUTION TECHNOLOGIES UK LTD,active,"LEWIS, Stuart James",director,Managing Director,03/07/2020,British,Wales
8669723,AIRPI LTD.,active,"GHANDHI, Jehangir",secretary,N/A,30/08/2013,N/A,N/A
8669723,AIRPI LTD.,active,"GHANDHI, Jehangir Dhunjishaw, Mr.",director,Accountant,30/08/2013,British,England
8669723,AIRPI LTD.,active,"HARTLEY, Thomas Jaal",director,Student,30/08/2013,British,England
13517601,AJH SYNTH LIMITED,active,"HALL, Allan",director,Director,19/07/2021,British,United Kingdom
13517601,AJH SYNTH LIMITED,active,"HALL, Paulla",director,Director,19/07/2021,British,England
14992600,ALBION.XYZ LTD,active,"MATIUSEVSKIJ, Jevgenij",director,Electrical Engineer,10/07/2023,Lithuanian,England
10634247,ALECTRON LTD,active,"AGOSTINELLI, Alessandro",director,Electronic Technician,22/02/2017,Italian,England
12151596,ALL MIXED UP LTD,active,"SWEET, Samantha Jane",director,Director,12/08/2019,British,England
12151596,ALL MIXED UP LTD,active,"SWEET, Samuel Whitney",director,Managing Director,12/08/2019,American,England
12151596,ALL MIXED UP LTD,active,THE JIMLIN FAMILY LIMITED PARTNERSHIP,corporate-director,N/A,12/08/2019,N/A,N/A
12151596,ALL MIXED UP LTD,active,THE NORDSTROM REVOCABLE TRUST,corporate-director,N/A,12/08/2019,N/A,N/A
3958513,ALL RIGHT NOW LIMITED,active,"BRUCE, George Leonard Robert",director,Business Consultant,28/03/2000,British,United Kingdom
13867617,ALLARMED LIMITED,active,"BURGESS, Kim Alexandra",director,Actuary,24/01/2022,British,Scotland
2128700,ALNER HAMBLIN ELECTRONICS LIMITED,active,"ALNER, Arthur David John, Mr.",secretary,N/A,,British,N/A
2128700,ALNER HAMBLIN ELECTRONICS LIMITED,active,"ALNER, Arhur David John, Mr.",director,Company Director,,British,England
2128700,ALNER HAMBLIN ELECTRONICS LIMITED,active,"ALNER, Jacqueline Cherry",director,Company Director,,British,United Kingdom
4991128,ALPHA IMAGE (HD) LTD,active,"PATEL, Mukundbhai Chandrakant",director,Director,10/12/2003,British,England
9465570,ALT WORKS LTD,active,"HULME, Alexander George",director,Designer,02/03/2015,British,England
8245031,ALTECH GLOBAL TRADE LIMITED,active,"LAYEGHI, Amir Hossein",director,Director,09/10/2012,British,England
12581729,ALTEKA SOLUTIONS LIMITED,active,"CAMPBELL, James Alexander",director,Company Director,01/05/2020,British,England
12581729,ALTEKA SOLUTIONS LIMITED,active,"JAMES, Matthew John",director,Company Director,01/05/2020,British,United Kingdom
12581729,ALTEKA SOLUTIONS LIMITED,active,"PERRY, Andrew Richard",director,Company Director,01/05/2020,British,United Kingdom
13932472,ALTION ENGINEERING LIMITED,active,"HANDLEY, William John Sampson",director,Company Director,30/09/2022,British,England
13932472,ALTION ENGINEERING LIMITED,active,"TAYLOR-JONES, Samuel",director,Engineer,22/02/2022,British,England
10330703,ALTU TECHNOLOGY LIMITED,active,"BALTACI, Yusuf, Dr",director,Director,16/08/2016,British,United Kingdom
13943024,AMATUS TECHNOLOGY LTD,active,"SHENG, Yunjing",director,Company Director,28/02/2022,Chinese,England
8381101,AMBER CONTROL LIMITED,active,"KEMSLEY, Ruth Helen",director,Engineer,30/01/2013,British,United Kingdom
3656822,AMINA TECHNOLOGIES LIMITED,active,"NEWLOVE, Christine Margaret",secretary,N/A,01/12/2014,N/A,N/A
3656822,AMINA TECHNOLOGIES LIMITED,active,"NEWLOVE, Richard Mark",director,Managing Director,17/03/1999,British,United Kingdom
3656822,AMINA TECHNOLOGIES LIMITED,active,"SWEPSTONE, Paul William",director,Operations Manager,26/04/2021,British,England
11035202,AMZ TREND LTD,active,"DUMITRASCU, Anca Iuliana",secretary,N/A,27/10/2017,N/A,N/A
11035202,AMZ TREND LTD,active,"MERCAS, Florin Ionut",director,Engineer,27/10/2017,British,England
SC482412,ANALYSIS LOGIC LIMITED,active,"PETRIE, Scott",director,Technology Consultant,17/07/2014,British,Scotland
13210392,ANDERSEN EV PLC,active,"MCMORRAN, Richard, Mr.",secretary,N/A,18/02/2021,N/A,N/A
13210392,ANDERSEN EV PLC,active,"KALO, Evangeline",director,Company Director,20/04/2022,British,England
13210392,ANDERSEN EV PLC,active,"MARTELL, David Kenneth",director,Company Director,16/08/2021,British,United Kingdom
13210392,ANDERSEN EV PLC,active,"MILES, John Charles",director,Company Director,11/10/2024,British,England
13210392,ANDERSEN EV PLC,active,"SOLOMON, Jeffrey",director,Director,18/02/2021,British,United Kingdom
13210392,ANDERSEN EV PLC,active,"STOLTSZ, Walter Herman",director,Engineering Director,22/07/2025,German,England
13210392,ANDERSEN EV PLC,active,"THOMAS, Harry Jacob",director,Venture Capitalist,20/05/2025,British,England
12907558,ANGEL ELECTRONICS LIMITED,active,"CLARK, David William",director,Director,28/09/2020,English,England
12907558,ANGEL ELECTRONICS LIMITED,active,"CONRICH-CLARK, Nataly Arda",director,Director,28/09/2020,British,United Kingdom
7012967,ANGLE AND CURVE LIMITED,active,"WHEELER, Sarah Amy",director,Administrator,03/03/2016,British,United Kingdom
9436751,AON2 LTD.,active,"AMARRA, Arthur Vincent Valencia",director,Engineer,12/02/2015,British,England
9436751,AON2 LTD.,active,"AMARRA, Wren",director,Designer,15/06/2024,British,England
15528239,APEX INNOVATIONS TECHNOLOGY LTD,active,"ZOU, Jinyun",director,Director,28/02/2024,Chinese,China
13181304,APIS&URSUS LTD,active,"HOMERSTON, Josh",director,Design Engineer,05/02/2021,British,England
13181304,APIS&URSUS LTD,active,"HOMERSTON, Shelby Odell",director,Photographer,05/02/2021,British,England
14030670,APOLLO VIEW MODULAR LTD,active,"HAMPSON, Jon-Mark",director,Developer/Musician,06/04/2022,British,England
9893626,APPTION LABS LIMITED,active,"ASTILL, Courtland Riley",secretary,N/A,01/11/2023,N/A,N/A
9893626,APPTION LABS LIMITED,active,"HARDY JR., James Henry",director,President,03/06/2023,American,United States
9893626,APPTION LABS LIMITED,active,"HORD, Michael Joseph",director,Company Director,01/07/2025,American,United States
9893626,APPTION LABS LIMITED,active,"RUST, Andrew Christian",director,Accountant,01/11/2023,American,United States
8973689,APULJACK ELECTRONICS LTD,active,"WRIGHT, Jacqueline Anne",director,Accountant,02/04/2014,British,England
8973689,APULJACK ELECTRONICS LTD,active,"WRIGHT, Paul Michael",director,Chartered Electronics Engineer,02/04/2014,British,England
3400303,AQUARIUM STUDIOS LIMITED,active,"O'SHEA, Sean",secretary,N/A,07/07/2011,N/A,N/A
3400303,AQUARIUM STUDIOS LIMITED,active,"BAIRD, Benedickt Cuillin",director,Sound Engineer,16/10/1997,British,United Kingdom
3400303,AQUARIUM STUDIOS LIMITED,active,"O SHEA, Sean Joseph",director,Manager,01/02/2008,British,Belgium
13987814,AQUIOS LABS LTD,active,"CHANG, Hon Tat, Mr.",director,General Manager,15/04/2025,Chinese,Hong Kong
13987814,AQUIOS LABS LTD,active,"YAN, Yan",director,Director,21/05/2025,Chinese,United Kingdom
15073673,ARCADE PARTS LIMITED,active,"WELLS, Luke",director,Company Director,15/08/2023,British,England
13830062,ARCCOS CADDIE LTD,active,"TURNER, Andrew Richard",director,Director,05/01/2022,British,England
12528808,ARDENCRAFT TECHNOLOGY LIMITED,active,"ALI, Mohammed Abid",director,Director,20/03/2020,British,England
14530670,ARGAS LTD.,active,"OSMANOVIC, Harun",director,Ceo,08/12/2022,Citizen Of Bosnia And Herzegovina,Bosnia And Herzegovina
8058384,ARMCO KEY SECURITY LIMITED,active,"BRANAGAN, Ian Richard",director,Marketing Consultant,22/01/2013,Irish,England
8058384,ARMCO KEY SECURITY LIMITED,active,"SCHAAR, George Kenny",director,Inventor,03/10/2022,British,England
3062324,ARROW TECHNICAL SERVICES LIMITED,active,"WORRALL, Lien",secretary,Finance Manager,29/05/2009,Vietnamese,N/A
3062324,ARROW TECHNICAL SERVICES LIMITED,active,"WORRALL, Christopher Mark, Dr",director,Professional Engineer,30/05/1995,British,England
2733624,ART AUDIO (UK) LIMITED,active,"WILLIS, Valerie Pauline",secretary,House Wife,01/10/1993,British,N/A
2733624,ART AUDIO (UK) LIMITED,active,"WILLIS, Thomas",director,Design Engineer,23/07/1992,British,United Kingdom
2733624,ART AUDIO (UK) LIMITED,active,"WILLIS, Valerie Pauline",director,Audio Equipment,01/10/1993,British,United Kingdom
3984356,ARTCOUSTIC INTERNATIONAL LTD,active,"DONVIG EHLERS, Kim",director,Director,02/05/2000,Danish,Taiwan
3984356,ARTCOUSTIC INTERNATIONAL LTD,active,"LJUNGBERG, Patricia",director,Director,02/05/2000,Danish,Denmark
11043021,ARYA AUDIO LABS LTD,active,"BEHOUNEK, Dominika",director,Student,14/02/2019,Polish,England
11043021,ARYA AUDIO LABS LTD,active,"MARKER, Arthur",director,Audio Researcher,01/11/2017,German,United Kingdom
5467962,ASHTON-PITT LIMITED,active,"PITT, Jill Annette",secretary,N/A,01/06/2005,British,N/A
5467962,ASHTON-PITT LIMITED,active,"PITT, Christopher David",director,Director,01/06/2005,British,England
13967070,ASTRATIUM LTD,active,"BURULEANU, Andrei",director,Engineer,10/03/2022,Romanian,England
SC260329,ATLAS (SCOTLAND) LIMITED,active,"KELLY, Kevin James",director,Electronic Engineer,28/03/2013,British,Scotland
SC260329,ATLAS (SCOTLAND) LIMITED,active,"MCCUE, Martin",director,Sales Director,02/04/2020,British,Scotland
SC260329,ATLAS (SCOTLAND) LIMITED,active,"TURNER, Jonathan Francis Andrew",director,Managing Director,15/12/2003,British,Scotland
SC260329,ATLAS (SCOTLAND) LIMITED,active,"WHYTE, Alan Mcalpine",director,Managing Director,02/04/2025,British,Scotland
9755904,ATN EUROPE LIMITED,active,"WEAVER, Matthew",secretary,N/A,16/08/2023,N/A,N/A
9755904,ATN EUROPE LIMITED,active,"WEAVER, Matthew",director,Managing Director,16/08/2023,British,England
11270602,ATO-GEAR LTD,active,"CARROTT, Sonya",secretary,N/A,22/03/2018,N/A,N/A
11270602,ATO-GEAR LTD,active,"BURNETT, Stuart John",director,Director,09/03/2020,British,England
11270602,ATO-GEAR LTD,active,"CARROTT, Sonya, Dr",director,Director Of Strategic Operations,22/03/2018,British,United Kingdom
14209543,AUDERESEMPER LTD,active,"ROSSI, Maurizio",secretary,N/A,01/07/2022,N/A,N/A
14209543,AUDERESEMPER LTD,active,"ROSSI, Maurizio",director,Director,01/07/2022,Italian,Italy
5647588,AUDIO & DESIGN READING LTD.,active,"STRANG, Richard Iain",director,Engineer,07/12/2005,British,United Kingdom
15323483,AUDIO COMPUTER LTD,active,"GILL, Nicholas James",director,Director,02/12/2023,British,England
15323483,AUDIO COMPUTER LTD,active,"WALKER, John Benjamin",director,Director,02/12/2023,British,England
12085544,AUDIO ELECTRONICS LTD,active,"CARPENTER, Matthew Roy Michael",director,Audio Systems Engineer,04/07/2019,British,England
11755634,AUDIO SQUADRON LTD,active,"ROWLAND, David Stephen",director,Software Developer,08/01/2019,British,England
11755634,AUDIO SQUADRON LTD,active,"STORER, Julian Barry",director,Director,08/01/2019,British,United Kingdom
11755634,AUDIO SQUADRON LTD,active,"WOODBURN, James Alexander",director,Ceo,08/01/2019,British,United States
2966696,AUDIO TECHNOLOGY (INTERNATIONAL) LIMITED,active,"NOEL, Gladys Louise",secretary,Dressmaker,09/09/1994,British,N/A
2966696,AUDIO TECHNOLOGY (INTERNATIONAL) LIMITED,active,"NOEL, Gladys Louise",director,Dressmaker,09/09/1994,British,England
2966696,AUDIO TECHNOLOGY (INTERNATIONAL) LIMITED,active,"REECE, Donna Maxine Marie",director,Marketing Dir/Nursery Officer,09/09/1994,British,United Kingdom
13878598,AUDIO WITH INTELLIGENCE LIMITED,active,"BOWNESS, Alan",director,Company Director,28/01/2022,British,England
10960466,AUDIOSCENIC LIMITED,active,"BROUNS, Kim Elizabeth",secretary,N/A,08/09/2021,N/A,N/A
10960466,AUDIOSCENIC LIMITED,active,"CROTEAU, John",director,Chairman,25/09/2023,American,United States
10960466,AUDIOSCENIC LIMITED,active,"SIMON GALVEZ, Marcos Felipe, Dr",director,Researcher,13/09/2017,Spanish,England
10960466,AUDIOSCENIC LIMITED,active,"WILES, Christopher John",director,Senior Investment Manager,21/10/2020,British,England
10960466,AUDIOSCENIC LIMITED,active,IP2IPO SERVICES LIMITED,corporate-director,N/A,20/03/2019,N/A,N/A
10544022,AUDIOSTORE LTD,active,"SMITH, Martin Anthony",director,Company Director,03/01/2017,British,United Kingdom
10544022,AUDIOSTORE LTD,active,"SMITH, Yaeja Ha",director,Company Director,03/01/2017,British,United Kingdom
2990627,AUTOCAR ELECTRICAL EQUIPMENT CO LIMITED,active,"FORD, Michael Antony",secretary,N/A,06/04/2006,British,N/A
2990627,AUTOCAR ELECTRICAL EQUIPMENT CO LIMITED,active,"FORD, Antony David",director,Company Director,02/12/1994,British,England
2990627,AUTOCAR ELECTRICAL EQUIPMENT CO LIMITED,active,"FORD, James Anthony Georges",director,Pilot,01/01/2013,English,England
2990627,AUTOCAR ELECTRICAL EQUIPMENT CO LIMITED,active,"FORD, Michael Antony",director,Company Director,02/12/1994,British,England
13071738,AUTOECO LIMITED,active,"KLYMENKO, Sergey",director,Director,09/12/2020,British,England
11927273,AUTOMATRY LTD,active,"HIRST, Richard Steven",director,Director,05/04/2019,British,England
9185796,AUTONOMOUS DEVICES LIMITED,active,"WAHREN, Ken",director,Engineer,21/08/2014,Australian,England
13405787,AVALON ARTIFICIAL INTELLIGENCE LIMITED,active,"SARA, Vamshi Teja",director,Business Person,18/05/2021,Indian,United Kingdom
14662120,AVANTPRO LIMITED,active,"PATEL, Anil",secretary,N/A,14/02/2023,N/A,N/A
14662120,AVANTPRO LIMITED,active,"PATEL, Anil",director,N/A,14/02/2023,British,United Kingdom
SC739042,AWD INNOVATIONS LIMITED,active,"DEVERELL, Andrew William",director,Product Developer,22/07/2022,English,Scotland
12186754,AXIM SYSTEMS LIMITED,active,"HUDSON, Ian Keith",director,Director,03/09/2019,British,United Kingdom
11295026,AYONZ LIMITED,active,"FOSTER, Darran",director,Head Of Merchandising,22/04/2024,British,England
11295026,AYONZ LIMITED,active,"YAACOUB, Ziad",director,Company Director,21/05/2018,Australian,Australia
5064981,AZATOM GROUP LIMITED,active,"ARMSTRONG, Elizabeth",secretary,Secretary,05/03/2004,British,N/A
5064981,AZATOM GROUP LIMITED,active,"ARMSTRONG, Michael John",director,Director,05/03/2004,British,United Kingdom
6127334,AZURE DEVELOPMENT SOLUTIONS LTD,active,"DODDS, Philip James",director,Sales Manager,26/02/2007,British,England
13707844,AZURE HAWKER LIMITED,active,"PARRISH, Thomas",director,Engineer,27/10/2021,British,United Kingdom
8135988,AZURI TECHNOLOGIES LTD,active,"WATSON, Adrian",secretary,N/A,27/07/2023,N/A,N/A
8135988,AZURI TECHNOLOGIES LTD,active,"BRANSFIELD-GARTH, Simon Cj",director,Director,25/07/2012,British,England
8135988,AZURI TECHNOLOGIES LTD,active,"HARPER, Alan Paul",director,Director,02/06/2015,British,United Kingdom
880499,B & W GROUP LTD,active,"COURTNEY-WHEATLEY, Lee David Andrew",secretary,N/A,01/08/2022,N/A,N/A
880499,B & W GROUP LTD,active,"COURTNEY-WHEATLEY, Lee David Andrew",director,Finance Director,01/08/2022,British,United Kingdom
880499,B & W GROUP LTD,active,"HATAISHI, Paul Kano",director,Business Executive,09/05/2023,American,United States
9973314,BAD DOG DESIGNS NIXIE CLOCKS LIMITED,active,"PARRY, Karen",director,Director,27/01/2016,British,England
9973314,BAD DOG DESIGNS NIXIE CLOCKS LIMITED,active,"PARRY, Paul",director,Director,27/01/2016,British,England
12486777,BARISTA VERDE LIMITED,active,"BENGOUGAM, Kamal",director,Chairman,20/09/2021,British,England
12486777,BARISTA VERDE LIMITED,active,"GRISWOLD, David",director,Director,15/09/2023,American,United States
12486777,BARISTA VERDE LIMITED,active,"KAMAL, Omar, Dr.",director,Director,14/10/2021,"Jordanian,British",United Kingdom
12486777,BARISTA VERDE LIMITED,active,"MALKIN, Hugh, Dr",director,Company Director,27/02/2020,English,United Kingdom
12486777,BARISTA VERDE LIMITED,active,"SATZMAN, Douglas Brian",director,Professional Executive,12/05/2023,American,United States
12486777,BARISTA VERDE LIMITED,active,"TWEMLOW, Clare Gillian",director,Cfo,20/09/2021,British,United Kingdom
13747344,BASOLITE LTD,active,"DOUGAL, Gordon Rex Paterson, Dr",director,Doctor,16/11/2021,British,England
9949500,BASS-O-MATIC LIMITED,active,"TAYLOR, Rupert Lee",director,Mechanic,13/01/2016,British,United Kingdom
9949500,BASS-O-MATIC LIMITED,active,"WOODS, Philip Russell",director,Engineer,13/01/2016,British,England
11074417,BASSFACE DISTRIBUTION LTD,active,"THOMPSON, Julian Stewart",director,Company Director,21/11/2017,British,United Kingdom
11908711,BAULOGIC HOLDINGS LTD,active,"CHARD, Stephen Michael",director,Director,27/03/2019,New Zealander,United Kingdom
11908711,BAULOGIC HOLDINGS LTD,active,"ROBINSON, Neil Adam",director,Director,27/03/2019,British,United Kingdom
9384565,BB MANUFACTURING LTD,active,"ALNER, David",secretary,N/A,12/01/2015,N/A,N/A
9384565,BB MANUFACTURING LTD,active,"ALNER, David John, Mr.",director,Company Director,12/01/2015,British,England
9384565,BB MANUFACTURING LTD,active,"ALNER, Jacqueline Cherry",director,Company Director,12/01/2015,British,United Kingdom
9384565,BB MANUFACTURING LTD,active,"BARNES, David",director,Electronics Engineer,12/01/2015,British,England
6254215,BCD SOLUTIONS LIMITED,active,"BARKER, Roy",secretary,N/A,21/05/2007,British,N/A
6254215,BCD SOLUTIONS LIMITED,active,"BARKER, Michelle",director,Company Director,21/05/2007,British,England
12596945,BEAM SYSTEMS LTD,active,"WELSH, Rebecca Joann",director,Occupational Therapist,14/03/2024,British,England
12596945,BEAM SYSTEMS LTD,active,"WELSH, Thomas David",director,Software Engineer,12/05/2020,British,England
SC674695,BEARS REPEATING LTD,active,"MACGREGOR, Alastair John",director,Company Director,18/09/2020,British,United Kingdom
SC779985,BEEMBEDDED LTD,active,"CAMPOS, Joao Carlos Vilar",director,Software Engineer,22/08/2023,Portuguese,Scotland
9910883,BELLUSCURA PLC,active,"PETERS, Guy Richard",director,Director,11/09/2025,British,England
9910883,BELLUSCURA PLC,active,"TUSON, Paul Adam Edward",director,Director,09/02/2024,British,England
12151444,BELVEDERE NOIRE LIMITED,active,"LAJEA, Minel Ovidiu",director,Company Director,12/08/2019,Romanian,United Kingdom
9201493,BENTO BIOWORKS LTD.,active,"BOEING, Philipp",director,Software Engineer,03/09/2014,"German,British",England
9201493,BENTO BIOWORKS LTD.,active,"WOLFENDEN, Bethan",director,Biochemist,03/09/2014,"British,Canadian",England
12872429,BEPRO-UK LTD,active,"KANG, Hyunwook",secretary,N/A,01/01/2021,N/A,N/A
12872429,BEPRO-UK LTD,active,"KANG, Hyunwook",director,Director,10/09/2020,South Korean,Germany
11298944,BERKANA LABS LTD,active,"WALDOCK, Adam",director,Director,09/04/2018,British,United Kingdom
10553772,BESPIN RESEARCH LTD,active,"DYKE, Philip John",director,Director,09/01/2017,British,United Kingdom
15086128,BGA ELECTRONICS LTD,active,"TAFIREYI, Danny Hary Canus",director,Electronics Systems Engineer,21/08/2023,Zimbabwean,England
8865985,BIGKIDGAMING LIMITED,active,"ODEDRA, Rahul",director,Self Employed,28/01/2014,British,England
10418094,BIKETRAC LIMITED,active,"CONRICH, Andrew Johann",director,Director,01/12/2016,British,England
10418094,BIKETRAC LIMITED,active,"FRASER, Alastair Andrew",director,Director,31/10/2017,British,United Kingdom
10418094,BIKETRAC LIMITED,active,"PAPAKYRIACOU, Christos",director,Director,10/10/2016,British,United Kingdom
10418094,BIKETRAC LIMITED,active,"TAYLOR, William Rafael Ballesteros",director,Director,01/12/2016,British,England
12678550,BILLTECH MECHATRONICS LTD,active,"OWHONDA, Edison, Mr.",director,Electrical Engineer,05/02/2022,British,England
5540746,BIOMOTORS LIMITED,active,"GOODWIN, Dominic, Mr.",director,Engineer,18/08/2005,British,England
13797209,BISHOPSOUND MANUFACTURING AND DESIGN LIMITED,active,"BISHOP, Andrew Henry",director,Director,13/12/2021,British,United Kingdom
13797209,BISHOPSOUND MANUFACTURING AND DESIGN LIMITED,active,"BISHOP, Victoria",director,Director,13/12/2021,British,United Kingdom
7563031,BITMORE LIMITED,active,"PARMAR, Harjinder Singh",director,Sales & Marketing,01/03/2013,British,United Kingdom
5187927,BLACKSTAR AMPLIFICATION LTD,active,"WATTS, Michael Stephen",secretary,N/A,23/01/2025,N/A,N/A
5187927,BLACKSTAR AMPLIFICATION LTD,active,"HAYHOE, Paul John",director,Sales Director,23/07/2004,British,England
5187927,BLACKSTAR AMPLIFICATION LTD,active,"ROBINSON, Ian Curtis",director,Managing Director,20/01/2006,British,England
5246453,BLACKTRACK LIMITED,active,"ARMSTRONG, Ian Philip",secretary,N/A,30/09/2004,British,N/A
5246453,BLACKTRACK LIMITED,active,"ARMSTRONG, Catherine Mary",director,Production Director,01/11/2014,Irish,England
5246453,BLACKTRACK LIMITED,active,"ARMSTRONG, Ian Philip",director,Consultant,30/09/2004,British,England
7681088,BLENDOLOGY LIMITED,active,"MUNDAY, Ajit Singh",director,Business Executive,15/06/2020,British,England
7681088,BLENDOLOGY LIMITED,active,"MUNDAY, Balbir Singh",director,Chief Executive Officer,23/06/2011,British,England
13110356,BLINKENLIGHT LTD,active,"COLEMAN, Patrick Mark Yeoman",director,Software Engineer,04/01/2021,Australian,England
13110356,BLINKENLIGHT LTD,active,"RUDYS, Vytautas Alexandras",director,Writer,04/01/2021,Lithuanian,England
12898676,BLOXX HOLDINGS LIMITED,active,"CHEN, Liangchen",director,Director,23/09/2020,British,England
12898676,BLOXX HOLDINGS LIMITED,active,"HU, Huang",director,Company Director,22/09/2024,Chinese,China
12946414,BLUE HORIZON INNOVATION LIMITED,active,"WYATT, Alison",director,Nurse,28/09/2025,British,England
12946414,BLUE HORIZON INNOVATION LIMITED,active,"WYATT, Paul",director,Engineer,28/09/2025,British,England
8342652,BLUE MAESTRO LIMITED,active,"HANCOCK, Kirstin Lee",director,Executive Director,01/08/2019,New Zealander,England
8342652,BLUE MAESTRO LIMITED,active,"HANCOCK, Richard",director,Adviser,28/12/2012,New Zealander,United Kingdom
