Company Number,Company Name,Company Status,Officer Name,Officer Role,Occupation,Appointed On,Nationality,Country of Residence
5141592,ALLERGY THERAPEUTICS PLC,active,"CHEESMAN, Karley Charlotte Mouatt",secretary,N/A,13/02/2023,N/A,N/A
5141592,ALLERGY THERAPEUTICS PLC,active,"BALL, David William Dawson",director,Director,26/06/2024,British,England
5141592,ALLERGY THERAPEUTICS PLC,active,"FURLONG, Shaun Antony",director,"Executive Director, Chief Financial Officer",08/03/2024,British,England
5141592,ALLERGY THERAPEUTICS PLC,active,"JENSEN, Peter Sinclair",director,Company Director,01/10/2010,British,England
5141592,ALLERGY THERAPEUTICS PLC,active,"LLOBET, Manuel",director,Chief Executive Officer,01/07/2009,Spanish,Spain
5141592,ALLERGY THERAPEUTICS PLC,active,"MACDIARMID, Cheryl Faye",director,Director,22/11/2021,Canadian,England
5141592,ALLERGY THERAPEUTICS PLC,active,"OTULANA, Babatunde Adekunle, Dr",director,Physician,06/06/2017,"American,Nigerian",United States
5141592,ALLERGY THERAPEUTICS PLC,active,"PARKER, Anthony Michael",director,Company Director,06/12/2022,British,United Kingdom
5141592,ALLERGY THERAPEUTICS PLC,active,"SHEN, Zheqing",director,Company Director,06/12/2022,Hong Konger,Hong Kong
4555287,ALLIANCE MEDICAL RADIOPHARMACY LIMITED,active,"HUNT, Ian Paul",director,Finance Director,01/07/2024,British,England
4555287,ALLIANCE MEDICAL RADIOPHARMACY LIMITED,active,"MARSH, Howard Alexander David",director,None,21/12/2022,British,United Kingdom
4555287,ALLIANCE MEDICAL RADIOPHARMACY LIMITED,active,"SCHMIDT, Axel",director,General Manager Radiopharma,24/01/2023,German,Germany
3250064,ALLIANCE PHARMACEUTICALS LIMITED,active,"CHRYSANTHOU, Chrysanthos Theoclis",secretary,N/A,01/09/2017,N/A,N/A
3250064,ALLIANCE PHARMACEUTICALS LIMITED,active,"FRANKLIN, Andrew Timothy",director,None Supplied,28/09/2015,British,United Kingdom
3250064,ALLIANCE PHARMACEUTICALS LIMITED,active,"SEDGWICK, Nicholas John",director,Director,13/05/2024,British,United Kingdom
NI045055,ALMAC PHARMA SERVICES LIMITED,active,"DIAMOND, Chris",secretary,N/A,09/01/2023,N/A,N/A
NI045055,ALMAC PHARMA SERVICES LIMITED,active,"ARMSTRONG, Alan David",director,Company Director,24/02/2003,Northern Irish,Northern Ireland
NI045055,ALMAC PHARMA SERVICES LIMITED,active,"HARKIN, Niall",director,Company Director,01/08/2019,British,Northern Ireland
NI045055,ALMAC PHARMA SERVICES LIMITED,active,"MCBURNEY, Graeme Thomas",director,Managing Director,08/12/2003,British,Northern Ireland
NI045055,ALMAC PHARMA SERVICES LIMITED,active,"MCQUAID, John Charles",director,Director,01/10/2022,Irish,Northern Ireland
11835984,ALPHACELLS BIOTECHNOLOGIES LIMITED,active,"CHEN, Rongjun, Professor",director,Professor,19/02/2019,British,England
11835984,ALPHACELLS BIOTECHNOLOGIES LIMITED,active,"ZOU, Meimei",director,Director Of Operation,19/02/2019,British,United Kingdom
10754496,ALPS BIOSCIENCES LIMITED,active,"PATEL, Umang Rajendrakumar",director,Company Director,04/05/2017,Indian,United Kingdom
10997632,AMAROX LIMITED,active,"ATTUNURI, Venkata Narasa Reddy",director,Director,05/10/2017,Indian,India
10997632,AMAROX LIMITED,active,"BHEEMIREDDY, Murali Krishna Reddy",director,Director,01/09/2020,Indian,India
10997632,AMAROX LIMITED,active,"PRAKASH, Manoj",director,Director,01/03/2018,British,England
3809718,AMBE LIMITED,active,"PATEL, Sandeep Ashokbhai",secretary,N/A,30/11/2009,N/A,N/A
3809718,AMBE LIMITED,active,"MARRINER, David",director,Company Director,15/06/2024,British,England
3809718,AMBE LIMITED,active,"PATEL, Sandeep Askok",director,Chairman,19/07/1999,British,England
8524434,ANA MARIA SERBAN LTD,active,"ROS, Ana Maria Mihaela",director,Director,10/05/2013,Romanian,England
13663679,ANDK TRADING LTD,active,"ELNAGGAR, Ahmed, Dr",director,Commercial Director,06/10/2021,Egyptian,Kuwait
13663679,ANDK TRADING LTD,active,"MAHER, Mohamed, Dr",director,Director,04/01/2022,British,Wales
13473950,ANGELINI PHARMA UK-I LIMITED,active,"ANDERSSON, Fras Anna Kristina",director,Company Director,01/01/2025,Swedish,Sweden
13473950,ANGELINI PHARMA UK-I LIMITED,active,"TOPALOGLU, Azra",director,Finance Director,23/06/2021,Turkish,United Kingdom
5354201,ANNA-MED (UK) LTD,active,"TARNAKIN, Oleksiy, Dr",director,Director,07/02/2005,Greek,United Kingdom
5354201,ANNA-MED (UK) LTD,active,"TARNAKINA, Tetyana",director,Medical Doctor,20/10/2015,Greek,England
11653696,APOBEC DISCOVERY LTD,active,"BEADLE, David",director,Company Director,24/03/2020,British,England
11653696,APOBEC DISCOVERY LTD,active,"EDWARDS, John William",director,Chartered Accountant,14/05/2021,British,United Kingdom
11653696,APOBEC DISCOVERY LTD,active,"HEININGER, Patrick",director,Company Director,01/11/2018,"British,American",United Kingdom
11653696,APOBEC DISCOVERY LTD,active,"LEIPER, James Mitchell, Professor",director,Professor,28/11/2019,British,Scotland
11653696,APOBEC DISCOVERY LTD,active,"SCOTT, James, Professor",director,Professor,01/11/2018,British,United Kingdom
11653696,APOBEC DISCOVERY LTD,active,"SPICER, James Frederick, Professor",director,Professor,01/10/2024,British,England
11653696,APOBEC DISCOVERY LTD,active,"WEDGEWOOD, Simon John",director,Company Director,11/09/2019,British,England
9803003,APOLLO PHARMA LTD,active,"MCCONNELL, Paul John",secretary,N/A,02/10/2015,N/A,N/A
9803003,APOLLO PHARMA LTD,active,"FAHY, Shaun Patrick",director,Manufacturing Manager,01/10/2015,"Irish,British",England
9803003,APOLLO PHARMA LTD,active,"MCCONNELL, Paul John",director,Engineer,01/10/2015,English,England
9803003,APOLLO PHARMA LTD,active,"MCMILLAN, Edwina Margaret",director,Purchasing Manager,16/02/2016,British,England
9803003,APOLLO PHARMA LTD,active,"MOORE, Ian",director,Quality Manager,16/02/2016,British,England
9803003,APOLLO PHARMA LTD,active,"ORMROD, Samantha",director,Production Manager,01/10/2015,British,United Kingdom
9155008,APPROVED PHARMA SOLUTIONS LTD,active,"EGGLESTON, Renda, Dr",director,Director,31/07/2014,British,England
9155008,APPROVED PHARMA SOLUTIONS LTD,active,"EGGLESTON, Richard Stuart",director,Director,31/07/2014,British,England
7710692,APTUIT (OXFORD) LIMITED,active,"PETRECZKY, Krisztina, Dr",secretary,N/A,30/08/2024,N/A,N/A
7710692,APTUIT (OXFORD) LIMITED,active,"BASHIR, Kamran",director,Director,01/01/2025,British,England
7710692,APTUIT (OXFORD) LIMITED,active,"STOTEN, Adam, Dr",director,Director,28/07/2022,British,England
8497840,ARCADIA PHARMA LIMITED,active,"COLEBROOK, Christopher John",secretary,N/A,01/08/2015,N/A,N/A
8497840,ARCADIA PHARMA LIMITED,active,"COLEBROOK, Christopher John",director,Operations Manager,01/08/2015,Welsh,Wales
8497840,ARCADIA PHARMA LIMITED,active,"EVERETT, Jeffrey Raymond Albert",director,Commercial Manager,01/08/2015,Welsh,Wales
8497840,ARCADIA PHARMA LIMITED,active,"OVERY, Michael John",director,Director,22/04/2013,British,Wales
8497840,ARCADIA PHARMA LIMITED,active,"WEBB, Jason",director,Head Of Hospitals,15/05/2018,British,England
3973050,AS-TEC CHEMICALS LIMITED,active,"HARRIS, Simon Digby",secretary,Chemist,14/04/2000,British,N/A
3973050,AS-TEC CHEMICALS LIMITED,active,"HARRIS, Mary Catherine",director,Director,23/01/2012,British,England
3973050,AS-TEC CHEMICALS LIMITED,active,"HARRIS, Simon Digby",director,Chemist,14/04/2000,British,United Kingdom
3973050,AS-TEC CHEMICALS LIMITED,active,"MITCHELL, Andrew John",director,Chemist,14/04/2000,British,England
13471083,ASCEND ADVANCED THERAPIES LIMITED,active,OAKWOOD CORPORATE SECRETARY LIMITED,corporate-secretary,N/A,22/06/2021,N/A,N/A
13471083,ASCEND ADVANCED THERAPIES LIMITED,active,"STELLA, Michael Anthony",director,Chief Executive Officer,01/05/2023,American,United States
9304650,ASTERISK LIFESCIENCES LTD,active,"SHARMA, Gagan Harsh",director,Director,28/06/2022,Indian,India
9304650,ASTERISK LIFESCIENCES LTD,active,"SHARMA, Vibha Gagan, Dr",director,Company Director,15/06/2020,Indian,England
11933851,ASTON PHARMACEUTICALS LTD,active,"RAVAL, Jiten Mahendrakumar",director,Pharmacist,09/04/2019,British,England
11933851,ASTON PHARMACEUTICALS LTD,active,"WAGSTAFF, Christopher Blair",director,Director,09/04/2019,British,United Kingdom
2723534,ASTRAZENECA PLC,active,"BOWDEN, Matthew Shaun",secretary,N/A,01/05/2025,N/A,N/A
2723534,ASTRAZENECA PLC,active,"ASHLEY, Euan Angus",director,Non-Executive Director,01/10/2020,"British,American",United States
2723534,ASTRAZENECA PLC,active,"BROADLEY, Philip Arthur John",director,Director,27/04/2017,British,United Kingdom
2723534,ASTRAZENECA PLC,active,"CONIX, Birgit",director,Non-Executive Director,01/02/2025,Belgian,Switzerland
2723534,ASTRAZENECA PLC,active,"COSTELLO, Karen Elizabeth Knudsen",director,Non-Executive Director,11/04/2025,American,United States
2723534,ASTRAZENECA PLC,active,"DEMARE, Michel Roger",director,Company Director,01/09/2019,"Belgian,Swiss",Switzerland
2723534,ASTRAZENECA PLC,active,"HAAS, Rene Anthony Andrada",director,Non-Executive Director,01/01/2025,American,United States
2723534,ASTRAZENECA PLC,active,"LAYFIELD, Diana Louise Patricia",director,Non-Executive Director,01/11/2020,British,England
2723534,ASTRAZENECA PLC,active,"MANZ, Anna Olive Magdelene",director,Non-Executive Director,01/09/2023,British,England
2723534,ASTRAZENECA PLC,active,"MCCOY, Sherilyn Dawn",director,Non-Executive Director,01/10/2017,American,United States
2723534,ASTRAZENECA PLC,active,"MOK, Tony Shu Kam",director,Professor,01/01/2019,Canadian,Hong Kong
2723534,ASTRAZENECA PLC,active,"RAHMAN, Sabera Nazneen",director,None,01/06/2017,British,United Kingdom
2723534,ASTRAZENECA PLC,active,"SARIN, Aradhana",director,Chief Financial Officer,01/08/2021,American,United States
2723534,ASTRAZENECA PLC,active,"SORIOT, Pascal Claude Roland",director,Chief Executive Officer,01/10/2012,"French,Australian",Switzerland
2723534,ASTRAZENECA PLC,active,"WALLENBERG, Marcus",director,Director,05/04/1999,Swedish,N/A
14930466,ASTRUM PHARMA LTD,active,"VAGHJIANI, Keval",director,Manager,12/06/2023,British,England
14930466,ASTRUM PHARMA LTD,active,"VAGHJIANI, Parin",director,Management Consultant,12/06/2023,British,United Kingdom
14930466,ASTRUM PHARMA LTD,active,"VAGHJIANI, Pujan",director,Manager,12/06/2023,British,England
15156339,ATAHAN GROUP LTD,active,"ATAHAN, Murat",director,General Manager,22/09/2023,Turkish,Turkey
8649268,ATRIVITA LIMITED,active,"BERKES, Ivan",director,Director,08/10/2025,British,United Kingdom
13208614,ATW SOLUTIONS LTD,active,"WILLIAMS, Akin",director,Sap Consultant,17/02/2021,British,England
3048584,AURA FRAGRANCES LIMITED,active,"WOODROW, Michael Norman",secretary,Flavourist,21/04/1995,British,N/A
3048584,AURA FRAGRANCES LIMITED,active,"WOODROW, Margaret Evelyn Anne",director,Perfumer,02/10/2012,British,England
3048584,AURA FRAGRANCES LIMITED,active,"WOODROW, Michael Norman, Mr.",director,Flavourist,21/04/1995,British,England
10097099,AVICENNA HERBAL PRODUCTS LIMITED,active,"NASR, Youssef Izzat",director,Medical Herbalist,01/04/2016,British,Wales
4683558,AVISIUS RESEARCH LIMITED,active,"WHELAN, Ian",director,Director,03/03/2003,British,England
3145216,AXONICS WOMEN'S HEALTH LIMITED,active,"WOODWORTH, Emily Marie",secretary,N/A,15/11/2024,N/A,N/A
3145216,AXONICS WOMEN'S HEALTH LIMITED,active,ABOGADO NOMINEES LIMITED,corporate-secretary,N/A,15/11/2024,N/A,N/A
3145216,AXONICS WOMEN'S HEALTH LIMITED,active,"WOODWORTH, Emily Marie",director,Business Executive,15/11/2024,American,United States
13315877,BARBARA MAWER ENTERPRISES LIMITED,active,"BOYDEN, Rebecca, Dr",director,Medical Consultant,06/04/2021,British,United Kingdom
987562,BARD PHARMACEUTICALS LIMITED,active,"JAMIESON, Stephen Johan",director,Accountant,22/02/2019,British,United Kingdom
987562,BARD PHARMACEUTICALS LIMITED,active,"LEA, Bryan George",director,General Counsel,01/01/2020,British,England
987562,BARD PHARMACEUTICALS LIMITED,active,"VARSHNEY, Ajay",director,Director,14/06/2024,Indian,United Kingdom
2855120,BATCHABLE ENTERPRISES LIMITED,active,"AGRAVAT, Deborah Jane Kantilal",director,Pharmacy Manager,12/10/2011,British,United Kingdom
2855120,BATCHABLE ENTERPRISES LIMITED,active,"AGRAVAT, Kantilal Haridas",director,Director,06/06/2013,British,England
2741673,BCM LIMITED,active,"BOZDEMIR, Volkan",director,Vice President Operations,01/10/2021,Turkish,England
2741673,BCM LIMITED,active,"PETRAS, Christophe David",director,Vice President Global Operations,31/10/2017,French,France
2741673,BCM LIMITED,active,FAREVA UK LIMITED,corporate-director,N/A,31/10/2017,N/A,N/A
3953215,BEACON PHARMACEUTICALS LIMITED,active,"JAMES, Kevin",director,Chairman,23/03/2022,British,England
3953215,BEACON PHARMACEUTICALS LIMITED,active,"PETERSEN, Terry John",director,Director,15/07/2024,British,England
6668549,BEAUTYLAB UK LIMITED,active,"AOUN, Michelle",secretary,N/A,08/08/2008,N/A,N/A
6668549,BEAUTYLAB UK LIMITED,active,"AOUN, Roger",director,Marketing,08/08/2008,British,England
NI649472,BERHAEL TRADING LIMITED,active,"QUINN, Micheal",director,Director,24/11/2017,Irish,Ireland
14839092,BIO DERMO LTD,active,"LAMI, Wisam Majid Sharhan",secretary,N/A,02/05/2023,N/A,N/A
14839092,BIO DERMO LTD,active,"LAMI, Wisam Majid Sharhan",director,Co&Founder,02/05/2023,Iraqi,Oman
1552562,BIO-HEALTH LIMITED,active,"BORLEY, Vicki Louise Jill",director,Company Director,29/01/2024,British,England
1552562,BIO-HEALTH LIMITED,active,"CREW, Katharine Amy",director,Director,05/10/2021,British,England
1552562,BIO-HEALTH LIMITED,active,"MCLAUGHLIN, Stephen",director,Director,17/03/2025,British,Scotland
1552562,BIO-HEALTH LIMITED,active,"PERFITT, Raoul John",director,Production Manager,05/12/2017,British,United Kingdom
4557084,BIO-TECH SOLUTIONS LIMITED,active,"ASHMAN, Stuart John",director,Company Director,11/10/2024,British,England
12450812,BIOACTIVE PHARMA LTD,active,"ASPINALL NESSLING, Kevin Lee",director,Director,10/02/2020,British,England
11716196,BIOCON PHARMA UK LIMITED,active,"BAINS, Peter James Jonathan",director,Director,17/04/2023,British,United Kingdom
11716196,BIOCON PHARMA UK LIMITED,active,"MAZUMDAR SHAW, Kiran",director,Director,07/12/2018,Indian,India
11716196,BIOCON PHARMA UK LIMITED,active,"ZUTSHI, Abhijit",director,Director,07/12/2018,American,United States
4480516,BIOLOGIX LABORATORIES LIMITED,active,"RICHARDSON, Kenneth",director,Director,20/08/2002,Scottish,Ireland
4480516,BIOLOGIX LABORATORIES LIMITED,active,"STRAUSS, John",director,Director,20/08/2002,Swiss,Switzerland
4480516,BIOLOGIX LABORATORIES LIMITED,active,"WESTCOTT, Guy",director,Sales Director,01/07/2009,British,England
13041271,BIONTECH UK LIMITED,active,"NEUENSCHWANDER, Zoey",director,Solicitor,24/11/2020,British,Germany
13041271,BIONTECH UK LIMITED,active,"POETTING, Sierk",director,Cfo,24/11/2020,German,Germany
13041271,BIONTECH UK LIMITED,active,"RUSHWORTH, Claudette",director,Associate Director Hr,01/09/2024,British,England
13041271,BIONTECH UK LIMITED,active,"RYAN, James Timothy Patrick",director,Solicitor,24/11/2020,British,Germany
10982144,BIOPERCEPT LTD,active,"HARRIS, Simon Digby",secretary,N/A,26/09/2017,N/A,N/A
10982144,BIOPERCEPT LTD,active,"HARRIS, Simon Digby",director,Chemist,26/09/2017,British,United Kingdom
10982144,BIOPERCEPT LTD,active,"MITCHELL, Andrew John",director,Chemist,26/09/2017,British,United Kingdom
8064938,BIOPHARMA STABILITY TESTING LABORATORY LIMITED,active,"WILKINSON, Alan Shaun, Dr",director,Research Scientist,11/05/2012,British,United Kingdom
14259834,BIOSIMILARS NEWCO LIMITED,active,"JATAR, Rajendra",director,Director,24/01/2024,Irish,Ireland
14259834,BIOSIMILARS NEWCO LIMITED,active,"MAZUMDAR, Claire",director,Company Director,29/11/2022,Canadian,United States
14259834,BIOSIMILARS NEWCO LIMITED,active,"PARIKH, Bobby Kanubhai",director,Director,31/03/2025,Indian,India
14259834,BIOSIMILARS NEWCO LIMITED,active,"PIOT, Peter",director,Company Director,29/11/2022,"British,Belgian",Belgium
14259834,BIOSIMILARS NEWCO LIMITED,active,"WALLS, John Russell Fotheringham",director,Company Director,29/11/2022,British,United Kingdom
13582504,BIOSIRIUS LTD,active,"NASSER, Syed Muhammad Shuaib, Dr",director,Consultant In Allergy And Respiratory Medicine,20/04/2025,British,England
13582504,BIOSIRIUS LTD,active,"NASSER, Syed Muhammad Tahir, Dr",director,Doctor,24/08/2021,British,England
4784475,21CEC PX PHARM LTD,active,DAVID BLEASDALE,corporate-secretary,N/A,01/11/2010,N/A,N/A
4784475,21CEC PX PHARM LTD,active,"BLEASDALE, Claire Chan, Dr",director,Director,02/06/2003,British,England
13152498,75PHARMA GROUP LIMITED,active,"HAKKINEN, Marko Tapio",director,Director,24/06/2025,Finnish,Finland
13152498,75PHARMA GROUP LIMITED,active,"KOIVUNEN, Tessa",director,Director,24/06/2025,Finnish,Finland
13152498,75PHARMA GROUP LIMITED,active,"MILLS, John",director,Director,24/06/2025,British,United Kingdom
13152498,75PHARMA GROUP LIMITED,active,"NEVALA, Niko Johannes",director,Director,27/06/2023,Finnish,Finland
13152498,75PHARMA GROUP LIMITED,active,"PALL, Sunita",director,Director,24/06/2025,British,United Kingdom
13152498,75PHARMA GROUP LIMITED,active,"RUOKOSTENPOHJA, Pasi Petteri",director,Director,22/01/2021,Finnish,Finland
13118677,ABTI PHARMA LIMITED,active,"SCHILLER, Dominic Christopher",director,Director,07/01/2021,British,United Kingdom
13118677,ABTI PHARMA LIMITED,active,"STOTT, Colin George",director,Director,11/11/2021,British,England
4596349,ACCORD HEALTHCARE LIMITED,active,"MARQUILLES ESCOLA, Roger",secretary,N/A,21/01/2022,N/A,N/A
4596349,ACCORD HEALTHCARE LIMITED,active,"BHAGIA, Pradeep Prabhudas",director,Director,30/09/2021,Indian,India
4596349,ACCORD HEALTHCARE LIMITED,active,"CHUDGAR, Binish Hasmukhbhai",director,Businessman,21/11/2002,Indian,India
4596349,ACCORD HEALTHCARE LIMITED,active,"FORD, Stephen Kelsey",director,Finance Vice President,30/09/2021,British,United Kingdom
4596349,ACCORD HEALTHCARE LIMITED,active,"GADHIA, Jitesh Kishorekumar, Lord",director,Director,29/01/2018,British,United Kingdom
4596349,ACCORD HEALTHCARE LIMITED,active,"GODDARD, John Geoffrey",director,Director,05/10/2017,British,United Kingdom
4596349,ACCORD HEALTHCARE LIMITED,active,"TREDWELL, Paul Sebastian",director,Director,07/06/2019,British,United Kingdom
79585,ACCORD-UK LTD,active,"JAKES, Nadine",secretary,Finance Director,10/10/2008,German,N/A
79585,ACCORD-UK LTD,active,"JAKES, Nadine",director,Executive Director Finance & It,10/10/2008,German,England
79585,ACCORD-UK LTD,active,"SPARROW, Jamie",director,Director,27/10/2023,British,United Kingdom
79585,ACCORD-UK LTD,active,"WILSON, Jonathan Thomas",director,Managing Director Uk,16/07/2009,British,England
8014664,ACE DIRECT LTD,active,"HUSSAIN, Mazahar",director,Pharmacist,02/04/2012,British,England
8014664,ACE DIRECT LTD,active,"JAN, Rakhmat",director,Company Director,02/04/2012,British,England
12847867,ACPC HEALTHCARE UK LTD,active,"CHANDRA, Amreen",director,Director,31/08/2020,Indian,India
12847867,ACPC HEALTHCARE UK LTD,active,"CHANDRA, Prashant",director,Director,31/08/2020,Indian,India
3557692,ACTAVIS HOLDINGS UK II LIMITED,active,"CHARLESWORTH, Stephen Michael",director,Chartered Accountant,29/04/2020,British,United Kingdom
3557692,ACTAVIS HOLDINGS UK II LIMITED,active,"COOPER, Dean Michael",director,Chartered Accountant,12/07/2018,British,United Kingdom
3229919,ACTIVE MEDICAL TECHNOLOGY LIMITED,active,"BOULTON, Paul",secretary,Director,19/08/1996,British,N/A
3229919,ACTIVE MEDICAL TECHNOLOGY LIMITED,active,"BOULTON, Paul",director,Director,19/08/1996,British,England
9680615,ADC HEALTHCARE LIMITED,active,"NAHAR, Kazi Sharmin",director,Manager,10/07/2015,Bangladeshi,United Kingdom
9680615,ADC HEALTHCARE LIMITED,active,"RAHMAN, Khondaker Mirazur, Dr",director,Teaching,10/07/2015,British,England
8425825,ADPHARM LIMITED,active,"BERKES, Ivan",director,Strategy Consultant,01/03/2013,British,England
2760679,ADVANZ PHARMA GENERICS (UK) LIMITED,active,TMF CORPORATE ADMINISTRATION SERVICES LIMITED,corporate-secretary,N/A,16/03/2022,N/A,N/A
2760679,ADVANZ PHARMA GENERICS (UK) LIMITED,active,"FERRY, Melvin Jeremy, Mr.",director,"Vice President, Strategic Finance",06/02/2025,British,England
2760679,ADVANZ PHARMA GENERICS (UK) LIMITED,active,"STICKLER, Andreas",director,Chief Financial Officer,21/01/2022,German,Germany
8717711,ADVENT BIOSERVICES LTD,active,"PIRE, Philippe Thomas George",secretary,N/A,16/05/2022,N/A,N/A
8717711,ADVENT BIOSERVICES LTD,active,"POWERS, Linda Fairing",director,Chairman,03/10/2013,American,United States
14521612,AFT PHARMA UK LIMITED,active,"ATKINSON, Hartley Campbell",director,Pharmaceutical Executive,02/12/2022,British,New Zealand
